,Headline,Date,Description
848,Biden says US has ‘humanitarian obligation’ to donate Covid-19 vaccines,2021-06-10 18:23:59,"<span>...US president Joe Biden on Thursday unveiled a commitment to purchasing 500m Covid-19 vaccines made by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> to donate to some of the...</span>"
845,"Euro 2020 finally kicks off, a year late and buffeted by the virus ",2021-06-11 04:00:07,"<span class=""o-teaser__tag-prefix"">FT Collections</span>"
846,The next generation Covid-19 vaccines seeking a slice of the market,2021-06-11 04:00:07,"<span>...the first ever jab market to encompass the entire global population.BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna, the pandemic’s mRNA-based vaccine frontrunners, have already booked...</span>"
844,News you might have missed . . . ,2021-06-11 05:35:17,"<span>...unveiled a commitment to purchasing 500m Covid-19 vaccines made by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> to donate to some of the world’s poorest countries.US lawmakers...</span>"
843,The next generation Covid vaccines seeking a slice of the market,2021-06-11 09:11:47,"<span>...the first ever jab market to encompass the entire global population.BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna, the pandemic’s mRNA-based vaccine frontrunners, have booked billions...</span>"
841,New wave of drug companies vies for slice of Covid vaccine market,2021-06-11 17:15:08,"<span>...you are going to make a lot of money.” The current leaders — <mark class=""search-item__highlight"">Pfizer</mark>, Moderna, AstraZeneca and Johnson &amp; Johnson — are set to be joined by Big...</span>"
840,G7’s vaccine pledge for poor nations branded inadequate by campaigners,2021-06-11 17:25:30,"<span>...co-ordinates distribution on the continent, said the US promise of BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jabs was a “generous” donation of “what they consider to be the...</span>"
842,Italian teenager dies from rare blood clot 2 weeks after receiving AstraZeneca vaccine,2021-06-11 17:49:01,"<span>...tank Gimbe, said on Thursday the data available suggested mRNA vaccines, like <mark class=""search-item__highlight"">Pfizer</mark> and Moderna, should be reserved for people below 50 years of age...</span>"
839,Moderna says it hasn’t found link between its vaccine and heart inflammation,2021-06-11 20:04:35,"<span>...cases of heart inflammation after the first dose of either the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> or Moderna mRNA jab and another 573 cases after the second dose...</span>"
838,GSK consumer chief plans deal spree after split from pharma,2021-06-11 21:00:08,"<span>...such as Centrum vitamins and Sensodyne toothpaste, is a joint venture with <mark class=""search-item__highlight"">Pfizer</mark>, formed in late 2018 and due to be carved out by summer...</span>"
836,Vaxxinity hopes its Covid jab technology will help treat Alzheimer’s,2021-06-13 04:00:32,"<span>...before but did not succeed. An injectable monoclonal antibody treatment developed by <mark class=""search-item__highlight"">Pfizer</mark> and Johnson &amp; Johnson was stopped in 2012 after a small proportion of...</span>"
561,South Africa hit by surge amid vaccine holdup,2021-06-13 21:18:55,"<span>...the single dose J&amp;J vaccine, while the remainder are elderly people who were given the first of two doses of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine....</span>"
560,Cancer treatment blunts Pfizer jab: study,2021-06-13 21:53:41,"<span>Cancer treatment blunts <mark class=""search-item__highlight"">Pfizer</mark> jab: study</span>"
559,New pharma wave vies for slice of jab market,2021-06-13 23:15:20,"<span>...you are going to make a lot of money.”  The current leaders — <mark class=""search-item__highlight"">Pfizer</mark>, Moderna, AstraZeneca and Johnson &amp; Johnson — are set to be joined by Big...</span>"
558,"Shorten gap between AstraZeneca doses to 8 weeks for over-40s, says health expert",2021-06-14 07:58:18,"<span>...protection. Public Health England data show that two doses of either the <mark class=""search-item__highlight"">Pfizer</mark> or AstraZeneca vaccines are more effective than one against symptomatic disease caused...</span>"
557,"Delta variant doubles risk of hospitalisation compared with Alpha strain, study shows",2021-06-14 14:08:28,"<span>...very, very substantive”, according to the researchers behind the study. The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab was 79 per cent effective in stopping infection from the Delta...</span>"
556,Pfizer and AstraZeneca vaccines highly effective at preventing hospitalisations from Delta variant,2021-06-14 18:02:37,"<span><mark class=""search-item__highlight"">Pfizer</mark> and AstraZeneca vaccines highly effective at preventing hospitalisations from Delta variant</span>"
555,Johnson’s new vaccine target sets stern test for GPs and jab centres,2021-06-14 19:09:37,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
554,News you might have missed …,2021-06-14 21:48:55,"<span>...in the north-west of the country,” he said. Both the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca vaccines are more than 90 per cent effective in...</span>"
553,Hong Kong enforces curbs as jabs reach 3m,2021-06-14 22:36:27,"<span>...of infections and increasing violations of curbs.Residents have received 1.6m <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech and 1.4m Sinovac jabs since the vaccination programme began on...</span>"
551,Greece recommends AstraZeneca for over-60s only,2021-06-14 23:36:49,"<span>...Although the AstraZeneca recommendation does not prohibit younger people from receiving  the jab, they will be generally offered the <mark class=""search-item__highlight"">Pfizer</mark>, Moderna or Johnson &amp; Johnson vaccines....</span>"
550,Australia accelerates its vaccination rollout,2021-06-15 01:52:49,"<span>...CSL in Melbourne as well as 298,350 doses of the imported <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech jab.Victoria, which has recorded a number of new clusters, will...</span>"
549,"Governments need ‘portfolio of vaccines’ to beat Covid, says EMA head",2021-06-15 04:00:39,"<span class=""o-teaser__tag-prefix"">Interview</span>"
548,"‘Portfolio of vaccines’ needed, says EMA head",2021-06-15 05:40:07,"<span>...the adenoviral-vector vaccines developed by Oxford/AstraZeneca and Johnson &amp; Johnson in favour of mRNA jabs developed by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna. Read more here...</span>"
547,Johnson damps businesses’ hopes after extending England’s lockdown,2021-06-15 08:25:07,"<span>...the UK against the Delta variant. The analysis suggested that the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine is 96 per cent effective against hospitalisation, while the Oxford-AstraZeneca...</span>"
546,FirstFT: Today’s top stories,2021-06-15 11:39:54,"<span>...virus variants. In other vaccine news, Public Health England said the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca jabs are more than 90 per cent effective at...</span>"
545,CDC labels Delta Covid-19 strain ‘variant of concern’,2021-06-15 17:23:57,"<span>...this week, UK health officials said that two doses of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine were 96 per cent effective against hospitalisation from the Delta variant...</span>"
543,New York offers vaccinations atop the Empire State Building,2021-06-16 00:58:59,"<span>...aged 12 and over can receive their first dose of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine some 380 metres above Manhattan from 8am to noon on three...</span>"
541,CureVac’s mRNA vaccine falls short on efficacy in clinical trials,2021-06-17 01:04:46,"<span>...The results put CureVac further behind its main competitors, Moderna, BioNTech and <mark class=""search-item__highlight"">Pfizer</mark>, whose vaccines based on mRNA were the first to reach the market...</span>"
540,Brussels’ Teva probe reveals dark side of patent protections,2021-06-17 03:30:40,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
539,Cyclical rally exposes flaws in some factor ETFs,2021-06-17 04:00:40,"<span class=""o-teaser__tag-prefix"">ETF Hub</span>"
538,Australia raises suggested minimum age for Oxford/AstraZeneca jab to 60,2021-06-17 04:43:26,"<span>...been recommended for use by people aged over 50, while the BionTech/<mark class=""search-item__highlight"">Pfizer</mark> jab was recommended for those under 50 years of age.The change...</span>"
537,Brazil’s Covid inquiry puts Bolsonaro on the back foot,2021-06-17 10:00:40,"<span>...allegations that the government ignored dozens of emails regarding vaccine supply from <mark class=""search-item__highlight"">Pfizer</mark> and even ran a parallel health ministry within the executive office.“We...</span>"
211,Delta variant tests UK guidance on under-40s and the AstraZeneca jab,2021-06-17 17:05:26,"<span>...picture due to the Delta variant comes as supplies of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine, which are intended to vaccinate at least three-quarters of 18...</span>"
210,CureVac to press on with mRNA vaccine despite disappointing trials,2021-06-17 19:16:28,"<span>...has fallen behind other producers of mRNA vaccines, with Moderna, BioNTech and <mark class=""search-item__highlight"">Pfizer</mark> beating it to the market.The latest data came from a study...</span>"
209,South Korea vaccination surge adds impetus to Asia push,2021-06-17 23:01:35,"<span>...the Oxford/AstraZeneca jabs, can receive their second dose with a BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine.“Things seem to be going as well as planned by the...</span>"
208,Letter: Antibody screening can plug Covid vaccine gaps,2021-06-18 03:59:35,"<span>...AstraZeneca vaccine will not be protected, nor will 8 per cent getting <mark class=""search-item__highlight"">Pfizer</mark> and 5 per cent Moderna. More importantly, the protection will wane over...</span>"
207,Vaccine cocktails cause headaches for Italy’s government,2021-06-18 05:01:59,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
206,CureVac to press on with mRNA vaccine despite disappointing trials,2021-06-18 05:36:56,"<span>...But since then, it has fallen behind other producers of mRNA vaccines, with Moderna, BioNTech and <mark class=""search-item__highlight"">Pfizer</mark> beating it to the market.Read more here....</span>"
205,All adults in England able to book vaccine appointment as 18-year-olds called forward,2021-06-18 07:38:08,"<span>...everyone else under 40, the youngest group is to be offered BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna vaccines.Sir Simon Stevens, chief executive of NHS England, said...</span>"
204,Israel to send up to 1.4m vaccine doses to Palestinians in vaccine swap deal,2021-06-18 17:12:10,"<span>...Israel and the Palestinian Authority have announced a vaccine exchange deal under which Israel will transfer up to 1.4m soon-to-expire BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>...</span>"
203,EU fails in legal bid to speed up AstraZeneca vaccine supply,2021-06-18 17:19:06,"<span>...With the pace of the EU’s vaccine rollout improving, using mainly <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech and Moderna jabs, and some countries imposing restrictions on the AstraZeneca...</span>"
202,Palestinians call off vaccine swap deal with Israel,2021-06-18 18:08:16,"<span>...Jewish state would transfer up to 1.4m soon-to-expire BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine doses in exchange for a similar number of <mark class=""search-item__highlight"">Pfizer</mark> doses that...</span>"
201,Reckitt chief signals new era with sale of China baby formula unit,2021-06-20 10:57:39,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
200,China vaccination total surpasses 1bn,2021-06-20 20:35:07,"<span>...in Kunming.China has not yet approved any foreign vaccines, although the <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech jab has been distributed in Hong Kong and Macau, the country...</span>"
199,Taiwan to allow private purchases of jabs,2021-06-20 20:37:05,"<span>...month.“Both TSMC and Foxconn’s Yonglin Foundation proposed to donate 5m [<mark class=""search-item__highlight"">Pfizer</mark>/BioNTech] vaccine doses to Taiwan,” government spokesperson Lo Ping-cheng told a...</span>"
198,Philippines jabs delayed as Pfizer deal inked,2021-06-20 23:07:02,"<span>Philippines jabs delayed as <mark class=""search-item__highlight"">Pfizer</mark> deal inked</span>"
197,Vaccitech chief confident of beating mRNA in cancer treatment,2021-06-21 03:00:17,"<span>...about high biotech valuations. Shares are still trading below the IPO price of $17. BioNTech, <mark class=""search-item__highlight"">Pfizer</mark> and Moderna did not respond to requests for comment....</span>"
196,Erdogan forecasts victory over Covid-19,2021-06-21 05:02:18,"<span>...jabs, with more than 14m people fully vaccinated. Both the Sinovac and <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech jabs are in use.Erdogan said domestic vaccination production could start...</span>"
195,Australia’s Morrison promises more jabs for states,2021-06-21 05:30:12,"<span>...2GB. “I mean, it scales up again in July when the additional <mark class=""search-item__highlight"">Pfizer</mark> doses go out.”Authorities said the <mark class=""search-item__highlight"">Pfizer</mark> vaccine rollout is currently “operating...</span>"
194,Morrisons bid highlights the tricky business of stakeholder M&A,2021-06-21 15:26:46,"<span>...There is little more dangerous in the world of mergers and acquisitions than a politician with a microphone. <mark class=""search-item__highlight"">Pfizer</mark>’s interest in AstraZeneca wasn’t...</span>"
193,US to send 55m vaccines to Covax and priority regions,2021-06-21 16:09:21,"<span>...has also said the US will buy 500m doses of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine to give to other countries over the next 18 months.Some...</span>"
191,US to distribute 55m vaccines from stockpile ,2021-06-21 21:46:13,"<span>...Biden has also said the US will buy 500m doses of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine to give to other countries over the next 18 months....</span>"
190,Hong Kong doctors urge jabs for elderly,2021-06-22 01:56:54,"<span>...only 1.8 per cent.The college said tens of millions of <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech and Sinovac shots had been given to elderly people around the...</span>"
189,AI drug discovery start-up Insilico raises more than $255m,2021-06-22 10:30:03,"<span>...software to pharmaceutical companies such as Merck and partners on projects with <mark class=""search-item__highlight"">Pfizer</mark>, Johnson &amp; Johnson and Japanese drugmaker Astellas Pharma. It also announced a collaboration...</span>"
188,Delta variant now represents 20% of new cases in the US — Fauci,2021-06-22 19:12:33,"<span>...was that vaccines are effective against the new variant, with the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca jabs each more than 90 per cent effective at...</span>"
187,"Delta variant now 20% of new US cases, says Fauci",2021-06-22 22:25:10,"<span>...was that vaccines are effective against the new variant, with the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca jabs each more than 90 per cent effective at...</span>"
349,Africa’s third wave: ‘What haunts me a lot is the Indian scenario’,2021-06-23 04:00:32,"<span>...was found not to be effective against milder forms of illness. The <mark class=""search-item__highlight"">Pfizer</mark> vaccine has so far led the mass rollout. Incoming larger deliveries from...</span>"
348,Covid Delta strain risks spreading ‘like wildfire’ among unvaccinated in US,2021-06-23 04:00:32,"<span>...protect against the Delta variant. One shot of vaccines including the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab is 33 per cent effective at preventing symptomatic infection but the...</span>"
347,UAE extends vaccinations to tourists in effort to open up travel,2021-06-23 06:20:49,"<span>...Abu Dhabi-issued tourist visas to book appointments to receive the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> or Chinese Sinopharm jabs.The move paves the way for widespread vaccine...</span>"
346,GSK: drugmaker’s partial exit from healthcare will please no one,2021-06-23 15:28:21,"<span class=""o-teaser__tag-prefix"">Lex</span>"
344,GSK chief shrugs off concerns over leadership as she outlines vision,2021-06-23 16:56:26,"<span>...its 68 per cent stake in its consumer health joint venture with <mark class=""search-item__highlight"">Pfizer</mark> next year in a listing on the London Stock Exchange, but plans...</span>"
343,CDC panel says ‘likely association’ between heart inflammation and mRNA vaccines,2021-06-23 17:47:10,"<span>...been reported after first and second doses of the Moderna and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> mRNA vaccines. Myocarditis is inflammation of the heart muscle, while pericarditis is...</span>"
342,CDC panel finds ‘likely association’ between mRNA jabs and heart inflammation,2021-06-23 20:31:34,"<span>...been reported after first and second doses of the Moderna and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> mRNA vaccines in people aged over 12.  Myocarditis is inflammation of the...</span>"
341,News you might have missed …,2021-06-23 22:28:30,"<span>...been reported after first and second doses of the Moderna and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> mRNA vaccines.Johnson &amp; Johnson’s Covid-19 vaccine protects against several variants...</span>"
340,Friends in high places: Buffett’s banker buys into Brunswick,2021-06-24 04:00:30,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
339,Singapore to ramp up vaccination drive,2021-06-24 09:56:09,"<span>...from July 2. The city state’s regulators have authorised the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna vaccines for use, but they still have not approved the...</span>"
338,Israel to reimpose mask requirement despite vaccine success,2021-06-25 10:28:13,"<span>...cent of its 9.3m residents receiving both doses of the BioNtech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine.Israel’s pandemic response coordinator, Dr Nachman Ash, told the Haaretz...</span>"
337,Britons deserve a summer holiday,2021-06-25 18:10:19,"<span class=""o-teaser__tag-prefix"">The FT View</span>"
336,Brazil’s Covid inquiry hears testimony over controversial vaccine deal,2021-06-25 20:59:16,"<span>...a contract was signed ahead of deals with other manufacturers, such as <mark class=""search-item__highlight"">Pfizer</mark> and Janssen, even though the Covaxin shot had not yet completed late...</span>"
335,Developers rethink the office after coronavirus,2021-06-28 03:30:28,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
333,Delta variant accounts for third of cases in UAE,2021-06-28 07:38:02,"<span>...the bulk of its inoculation drive. Dubai’s health authority has used <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech and Oxford/AstraZeneca vaccines.Unvaccinated people have accounted for 94 per...</span>"
332,"Mix-and-match of AstraZeneca and Pfizer vaccines triggers strong immune response, study shows",2021-06-28 15:00:21,"<span>Mix-and-match of AstraZeneca and <mark class=""search-item__highlight"">Pfizer</mark> vaccines triggers strong immune response, study shows</span>"
331,Moderna and Pfizer vaccines may provide long-lasting immunity - study,2021-06-28 15:39:52,"<span>Moderna and <mark class=""search-item__highlight"">Pfizer</mark> vaccines may provide long-lasting immunity - study</span>"
330,News you might have missed …,2021-06-28 21:30:22,"<span>...the pandemic, Public Health England said on Monday.The Moderna and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> Covid-19 vaccines may provide long-lasting immunity, according to a study...</span>"
329,AstraZeneca move ‘weighed risk and benefits’,2021-06-29 04:33:32,"<span>...experts have recommended that for people under the age of 60, the <mark class=""search-item__highlight"">Pfizer</mark> vaccine is more appropriate”.He said some, but not all, younger Australians...</span>"
327,Sanofi to invest €400m a year in mRNA vaccines,2021-06-29 10:05:02,"<span>...vaccines, although it has two still in development. New challengers, including BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna, proved the speed and agility advantages of newer mRNA platforms...</span>"
326,Sanofi boosts investment in mRNA to keep pace in vaccines,2021-06-29 11:04:30,"<span>...the race to develop Covid-19 vaccines, with new challengers including BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna proving the speed and agility advantages of mRNA platforms. The...</span>"
325,England looks at autumn end to pupil self-isolation as absences rocket ,2021-06-29 17:26:15,"<span>...with the matter. The UK medicines regulator approved the use of BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> for 12 to 15-year-olds at the start of June, but...</span>"
1093,"Vaccinate children to achieve herd immunity, professor says",2021-07-01 06:50:32,"<span>...and that he had “no problem at all” with mixing vaccines.The <mark class=""search-item__highlight"">Pfizer</mark> and AstraZeneca jabs “are similar enough to reinforce each other”, he said....</span>"
1092,Half of parents keen to give school-aged children a vaccine,2021-07-01 10:34:43,"<span>...to offer children the vaccine. The UK medicines regulator approved the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab for use in 12 to 15-year-olds in early June...</span>"
1091,Switzerland to donate to Covax most of its as-yet-to-be-approved AstraZeneca jabs,2021-07-01 12:04:58,"<span>...first dose of AstraZeneca abroad. Switzerland has administered 93 doses of either <mark class=""search-item__highlight"">Pfizer</mark> or Moderna vaccines per 100 citizens, with 60 per cent of the...</span>"
1090,Africa’s head of vaccine procurement hits out at EU for hoarding jabs,2021-07-01 12:16:23,"<span>...government had “really stepped up”, having recently provided $4bn to the Covax facility to purchase 500m doses of the <mark class=""search-item__highlight"">Pfizer</mark> jab on Africa’s behalf....</span>"
1089,Public Health England data show Oxford/AstraZeneca vaccine is highly effective,2021-07-01 14:35:45,"<span>...effective in stopping symptomatic disease for under-40s after one dose. The <mark class=""search-item__highlight"">Pfizer</mark> jab, another mRNA vaccine, had 61 per cent effectiveness.Vaccines have so...</span>"
1087,J&J vaccine shows ‘strong’ protection against Delta variant,2021-07-02 05:59:31,"<span>...protecting against numerous other strains. J&amp;J joins Moderna and BioNTech and <mark class=""search-item__highlight"">Pfizer</mark> in proving that its vaccine protects against the highly transmissible Delta variant...</span>"
1086,Ireland to offer J&J vaccine to young adults,2021-07-02 07:48:19,"<span>...Some in their forties are still awaiting their first dose of the <mark class=""search-item__highlight"">Pfizer</mark> or Moderna vaccine and many in their fifties and sixties have yet...</span>"
1085,Unjabbed teenagers risk turning schools into viral reservoirs ,2021-07-02 11:59:06,"<span>...it. In early June 2021, the UK medicines regulator approved the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine as safe and effective for children aged 12-15, but the...</span>"
1084,No plans to reduce gap between Covid jabs as cases soar,2021-07-02 18:48:07,"<span>...up the vaccination programme by closing the gaps between doses of BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> (the jab being used most widely on the under-40s) from eight...</span>"
1083,Delta variant’s spread in the US casts shadow over July 4 festivities,2021-07-03 09:00:26,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
1082,Corporate insiders’ well-timed share sales raise concerns,2021-07-04 10:00:32,"<span>...timing of executive stock sales were highlighted last year when Albert Bourla, <mark class=""search-item__highlight"">Pfizer</mark> chief executive, cashed in shares on the same day that the company...</span>"
1081,The seafarers left stranded by the pandemic,2021-07-05 11:01:16,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
1080,"Pfizer jab less effective than thought against Delta variant, Israeli study finds",2021-07-05 13:28:27,"<span><mark class=""search-item__highlight"">Pfizer</mark> jab less effective than thought against Delta variant, Israeli study finds</span>"
1079,Business travel to take off again,2021-07-05 17:15:00,"<span>...will be lifted on July 19, although weekly cases keep risingThe BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine is less efficient than thought against infection from the Delta variant...</span>"
1078,"Pfizer vaccine less effective against Delta variant, Israeli study finds",2021-07-05 19:05:55,"<span><mark class=""search-item__highlight"">Pfizer</mark> vaccine less effective against Delta variant, Israeli study finds</span>"
1077,News you might have missed …,2021-07-05 21:20:22,"<span>...were expected to rise as restrictions were eased. Efficacy of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine against infection with the Delta variant of coronavirus is lower than...</span>"
1076,Japan to donate over 1m doses of AstraZeneca vaccine to Taiwan,2021-07-06 06:27:40,"<span>...vaccine, but due to concerns about possible blood clots, the country is only using the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna jabs in its public inoculation campaign....</span>"
1075,"Israel to send 700,000 doses of Pfizer vaccine to South Korea",2021-07-06 08:01:01,"<span>Israel to send 700,000 doses of <mark class=""search-item__highlight"">Pfizer</mark> vaccine to South Korea</span>"
1074,FirstFT: JPMorgan Chase buying spree is Jamie Dimon’s busiest in years,2021-07-06 11:00:42,"<span>...public anxiety mounts about a potential third wave of infections.The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine is just 64 per cent effective at preventing infection against the...</span>"
885,Asian disparities reflect difference in quality of Covid vaccines,2021-07-06 11:04:21,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
884,England’s hasty lifting of coronavirus rules,2021-07-06 17:29:07,"<span class=""o-teaser__tag-prefix"">The FT View</span>"
883,England’s Covid experiment: can jabs counter fast-rising infections?,2021-07-06 17:51:17,"<span>...possible because of supply constraints over the two mRNA vaccines, from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna.

In the UK’s favour is one of the world...</span>"
882,Biden urges Covid vaccination push as Delta variant cases mount,2021-07-06 22:56:13,"<span>...US infections.Meanwhile, data from Israel over the weekend suggested the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine, which accounts for more than half of the doses administered in...</span>"
881,Janssen Covid-19 vaccine receives provisional approval in New Zealand,2021-07-07 01:17:12,"<span>...aged 18 and over.New Zealand is already receiving deliveries of the <mark class=""search-item__highlight"">Pfizer</mark>/BioNTech vaccine and has secured enough doses for its entire population, as...</span>"
880,Australia enlists big business to accelerate vaccine rollout,2021-07-07 06:13:48,"<span>...drive will be limited until Canberra receives additional supplies this year from <mark class=""search-item__highlight"">Pfizer</mark> and Moderna.

Queensland’s state government has already restricted access to its...</span>"
879,Singapore to ease Covid rules as infections from variants decline,2021-07-07 10:37:56,"<span>...tally, which only includes people who have taken the Moderna and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jabs.The city state has not authorised the Sinovac vaccine as it...</span>"
878,How Delta variant forced Israel to rethink its Covid strategy,2021-07-08 04:00:02,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
877,Welsh chip deal will show how UK’s view on foreign owners is evolving,2021-07-08 17:34:18,"<span class=""o-teaser__tag-prefix"">Inside Business</span>"
876,BioNTech/Pfizer plan to trial Delta variant vaccine in August,2021-07-08 21:11:15,"<span>BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> plan to trial Delta variant vaccine in August</span>"
875,Pfizer and BioNTech to start trials of vaccine that targets Delta variant,2021-07-08 21:14:43,"<span><mark class=""search-item__highlight"">Pfizer</mark> and BioNTech to start trials of vaccine that targets Delta variant</span>"
873,How effective are coronavirus vaccines against the Delta variant?,2021-07-09 04:00:39,"<span>...the UK, released by Public Health England in June, found the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca vaccines were, respectively, 96 per cent and 92 per...</span>"
874,Healthcare shares can provide a tonic — but choose with care,2021-07-09 04:00:39,"<span>...per cent. It’s a similar story for other big pharmaceutical companies. <mark class=""search-item__highlight"">Pfizer</mark>, in the US, is up 22.5 per cent, against almost 38...</span>"
872,Finance ministers unwind in Venice before tough talks in Brussels,2021-07-09 05:02:05,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
871,News you might have missed ...,2021-07-09 05:45:20,"<span>...<mark class=""search-item__highlight"">Pfizer</mark> and BioNTech are preparing to start clinical trials of a version of their Covid-19 vaccine targeting the Delta variant next month, amid fears...</span>"
870,How effective are coronavirus vaccines against Delta variant?,2021-07-09 10:14:21,"<span>...in UK, released by Public Health England in June, found the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca vaccines were, respectively, 96 per cent and 92 per...</span>"
869,FirstFT: Fed official warns Delta variant poses threat to global recovery,2021-07-09 10:56:43,"<span>...nationals, while the other two were Americans of Haitian descent.Coronavirus digestBioNTech/<mark class=""search-item__highlight"">Pfizer</mark> are preparing to start clinical trials of a vaccine targeting the Delta...</span>"
868,European regulator finds rare link between mRNA vaccines and heart inflammation,2021-07-09 11:41:51,"<span>...The European Medicines Agency has found a link between vaccination with Moderna’s and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>’s coronavirus jabs and heart inflammation, recommending the side...</span>"
867,Pfizer/vaccines: variants could extend Covid-19 profit injections,2021-07-09 14:11:11,"<span class=""o-teaser__tag-prefix"">Lex</span>"
866,"Too soon to know whether booster shots will be needed, health agencies say",2021-07-09 14:50:19,"<span>...vaccines will be required to maintain protection against Covid-19, even as <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech suggest a third jab targeting the Delta variant may be...</span>"
865,Delta variant poses growing threat to world recovery,2021-07-09 17:15:48,"<span>...it had found a link between vaccination with Moderna’s and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>’s coronavirus jabs and heart inflammationHiring in Canada rebounded by more than...</span>"
864,"Latin America urgently needs vaccines from west, top official warns",2021-07-11 04:00:40,"<span>...to donate 80m surplus doses globally and pledged to give 500m BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine doses to 92 lower-income countries by mid-2022. But this...</span>"
863,News you might have missed …,2021-07-11 20:14:31,"<span>...most of its markets “are recovering faster than anticipated” from the crisis.<mark class=""search-item__highlight"">Pfizer</mark> and BioNTech are preparing to start clinical trials of a version of...</span>"
